上城区,清波街道,26950
上城区,湖滨街道,23385
上城区,小营街道,75096
上城区,南星街道,52528
上城区,紫阳街道,94086
上城区,望江街道,85612
上城区,凯旋街道,71747
上城区,采荷街道,69602
上城区,闸弄口街道,94158
上城区,四季青街道,93538
上城区,彭埠街道,114237
上城区,笕桥街道,155866
上城区,丁兰街道,172753
上城区,九堡街道,193909
拱墅区,长庆街道,42675
拱墅区,武林街道,33948
拱墅区,天水街道,30008
拱墅区,潮鸣街道,55945
拱墅区,朝晖街道,76943
拱墅区,文晖街道,55999
拱墅区,东新街道,107328
拱墅区,石桥街道,83003
拱墅区,米市巷街道,45547
拱墅区,湖墅街道,28222
拱墅区,小河街道,64466
拱墅区,和睦街道,15160
拱墅区,拱宸桥街道,66345
拱墅区,大关街道,42036
拱墅区,上塘街道,72226
拱墅区,祥符街道,188359
拱墅区,康桥街道,41689
拱墅区,半山街道,71086
西湖区,北山街道,25743
西湖区,西溪街道,70595
西湖区,翠苑街道,73079
西湖区,古荡街道,90251
西湖区,留下街道,121295
西湖区,转塘街道,127193
西湖区,蒋村街道,87970
西湖区,灵隐街道,41766
西湖区,文新街道,116577
西湖区,三墩镇,262839
西湖区,双浦镇,71921
滨江区,西兴街道,143318
滨江区,长河街道,168276
滨江区,浦沿街道,192265
萧山区,城厢街道,154563
萧山区,北干街道,153786
萧山区,蜀山街道,94017
萧山区,新塘街道,186891
萧山区,靖江街道,53959
萧山区,南阳街道,63297
萧山区,闻堰街道,75595
萧山区,宁围街道,88527
萧山区,新街街道,119725
萧山区,盈丰街道,81754
萧山区,楼塔镇,23472
萧山区,河上镇,28383
萧山区,戴村镇,37135
萧山区,浦阳镇,36667
萧山区,进化镇,44427
萧山区,临浦镇,79209
萧山区,义桥镇,87131
萧山区,所前镇,58632
萧山区,衙前镇,52746
萧山区,瓜沥镇,233040
萧山区,益农镇,47761
萧山区,党湾镇,48646
萧山区,萧山经济技术开发区,112461
萧山区,萧山商业城,1578
萧山区,红山农场,15613
萧山区,萧山钱江世纪城,32684
临平区,临平街道,160593
临平区,南苑街道,200643
临平区,东湖街道,79115
临平区,星桥街道,106774
临平区,乔司街道,224450
临平区,运河街道,89487
临平区,崇贤街道,151593
临平区,塘栖镇,163186
余杭区,仁和街道,124336
余杭区,良渚街道,326157
余杭区,闲林街道,143807
余杭区,仓前街道,119398
余杭区,余杭街道,157128
余杭区,中泰街道,52919
余杭区,径山镇,38009
余杭区,瓶窑镇,90602
余杭区,鸬鸟镇,9910
余杭区,百丈镇,9359
余杭区,黄湖镇,15247
余杭区,五常街道,139801
富阳区,富春街道,321275
富阳区,春江街道,37013
富阳区,鹿山街道,40617
富阳区,东洲街道,67194
富阳区,银湖街道,82813
富阳区,万市镇,15138
富阳区,洞桥镇,12844
富阳区,渌渚镇,11578
富阳区,永昌镇,8781
富阳区,里山镇,6766
富阳区,常绿镇,7997
富阳区,场口镇,27163
富阳区,常安镇,10668
富阳区,龙门镇,4322
富阳区,新登镇,71284
富阳区,胥口镇,15043
富阳区,大源镇,29632
富阳区,灵桥镇,19619
富阳区,新桐乡,7011
富阳区,上官乡,6688
富阳区,环山乡,9773
富阳区,湖源乡,4347
富阳区,春建乡,6248
富阳区,渔山乡,8203
临安区,玲珑街道,47782
临安区,锦南街道,23652
临安区,锦城街道,142667
临安区,锦北街道,85702
临安区,青山湖街道,72332
临安区,高虹镇,21475
临安区,太湖源镇,25000
临安区,於潜镇,42419
临安区,太阳镇,19475
临安区,潜川镇,15395
临安区,昌化镇,24632
临安区,河桥镇,10895
临安区,湍口镇,8223
临安区,清凉峰镇,19724
临安区,岛石镇,14605
临安区,板桥镇,20997
临安区,天目山镇,24108
临安区,龙岗镇,15472
桐庐县,旧县街道,8076
桐庐县,桐君街道,44076
桐庐县,城南街道,113017
桐庐县,凤川街道,66845
桐庐县,富春江镇,23400
桐庐县,横村镇,44754
桐庐县,分水镇,56716
桐庐县,瑶琳镇,23108
桐庐县,百江镇,10385
桐庐县,江南镇,37155
桐庐县,莪山畲族乡,5840
桐庐县,钟山乡,11501
桐庐县,新合乡,3269
桐庐县,合村乡,4964
淳安县,千岛湖镇,143215
淳安县,文昌镇,8690
淳安县,石林镇,2612
淳安县,临岐镇,12847
淳安县,威坪镇,20676
淳安县,姜家镇,13587
淳安县,梓桐镇,8459
淳安县,汾口镇,30779
淳安县,中洲镇,9018
淳安县,大墅镇,7321
淳安县,枫树岭镇,8745
淳安县,里商乡,5145
淳安县,金峰乡,2440
淳安县,富文乡,4195
淳安县,左口乡,5160
淳安县,屏门乡,6493
淳安县,瑶山乡,5523
淳安县,王阜乡,8247
淳安县,宋村乡,2651
淳安县,鸠坑乡,2997
淳安县,浪川乡,9436
淳安县,界首乡,5003
淳安县,安阳乡,5718
名胜区,西湖街道,23763
钱塘区,白杨街道,335634
钱塘区,下沙街道,186343
钱塘区,义蓬街道,84491
钱塘区,河庄街道,73874
钱塘区,新湾街道,39387
钱塘区,临江街道,25227
钱塘区,前进街道,21609
钱塘区,围垦区,2585
建德市,新安江街道,111433
建德市,洋溪街道,24725
建德市,更楼街道,19966
建德市,莲花镇,7136
建德市,乾潭镇,39545
建德市,梅城镇,38969
建德市,杨村桥镇,14458
建德市,下涯镇,18431
建德市,大洋镇,22145
建德市,三都镇,17614
建德市,寿昌镇,39273
建德市,航头镇,22461
建德市,大慈岩镇,13246
建德市,大同镇,34652
建德市,李家镇,12256
建德市,钦堂乡,6399
